Country,CountryCode,Year,Region,Population,BCG,DTP1,DTP3,MCV1,MCV3,OPV1,OPV3,PCV1,PCV3,,,
Mali,MLI,2021,Western Africa,855630.5,40,45,41,36,13,44,39,20,40,,,
Mali,MLI,2022,Western Africa,875964,49,47,43,41,18,44,41,47,45,,,
Mali,MLI,2023,Western Africa,895715,40,46,42,40,19,45,40,46,42,,,
Mali,MLI,2024,Western Africa,913703,112,113,102,64,32,105,93,112,101,,,
Mauritania,MRT,2018,Western Africa,152631,78,78,68,63,0,77,67,77,68,,,
Mauritania,MRT,2019,Western Africa,155558.5,94,91,82,79,0,90,78,92,81,,,
Mauritania,MRT,2020,Western Africa,158372.5,92,91,80,81,0,90,80,90,81,,,
Mauritania,MRT,2021,Western Africa,161203,88,87,77,75,0,88,76,87,76,,,
Mauritania,MRT,2022,Western Africa,164030.5,66,64,61,51,0,60,56,65,61,,,
Mauritania,MRT,2023,Western Africa,166881,75,72,65,66,18,72,65,72,65,,,
Mauritania,MRT,2024,Western Africa,169897.5,88,87,82,87,58,87,81,87,82,,,
Mauritania,MRT,2025,Western Africa,172890.5,90,96,90,75,36,97,89,96,89,,,
Mauritius,MUS,2017,Eastern and Southern Africa,12775,86,86,84,82,0,87,85,88,77,,,
Mauritius,MUS,2018,Eastern and Southern Africa,12528,79,80,80,96,0,80,81,80,74,,,
Mauritius,MUS,2019,Eastern and Southern Africa,12382.5,82,85,83,92,123,85,84,85,84,,,
Mauritius,MUS,2020,Eastern and Southern Africa,12358,85,87,87,86,90,87,87,89,77,,,
Mauritius,MUS,2021,Eastern and Southern Africa,12458,59,60,62,54,43,62,62,63,62,,,
Mozambique,MOZ,2017,Eastern and Southern Africa,1058208.5,98,103,95,97,56,95,84,102,93,,,
Mozambique,MOZ,2018,Eastern and Southern Africa,1082568.5,87,86,81,80,53,86,80,79,73,,,
Mozambique,MOZ,2019,Eastern and Southern Africa,1107028.5,129,125,117,115,82,123,114,124,111,,,
Mozambique,MOZ,2020,Eastern and Southern Africa,1131029,124,120,111,112,83,115,103,120,84,,,
Mozambique,MOZ,2021,Eastern and Southern Africa,1155534,128,101,90,112,85,108,94,113,99,,,
Namibia,NAM,2017,Eastern and Southern Africa,74818,87,89,82,74,0,83,78,68,62,,,
Namibia,NAM,2020,Eastern and Southern Africa,82204.5,98,88,80,72,56,86,79,75,68,,,
Niger,NER,2018,Western Africa,923063,73,70,67,66,43,70,67,70,66,,,
Niger,NER,2019,Western Africa,937210,85,100,95,94,0,100,95,100,95,,,
Niger,NER,2020,Western Africa,951804.5,85,78,74,74,52,78,74,78,74,,,
Niger,NER,2021,Western Africa,967559,88,81,76,77,56,81,76,81,76,,,
Niger,NER,2022,Western Africa,992922,80,74,69,64,47,72,67,72,66,,,
Niger,NER,2023,Western Africa,1025915,80,73,69,68,50,73,69,73,69,,,
Niger,NER,2024,Western Africa,1053493,78,71,68,67,52,71,68,71,68,,,
Niger,NER,2025,Western Africa,1074297,71,66,63,61,47,66,63,66,63,,,
Nigeria,NGA,2018,Western Africa,6914961,90,103,95,87,0,103,95,102,94,,,
Nigeria,NGA,2019,Western Africa,6879991.5,81,94,87,81,0,94,87,94,87,,,
Nigeria,NGA,2020,Western Africa,6840996.5,74,85,80,74,0,85,79,85,79,,,
Nigeria,NGA,2021,Western Africa,6877897.5,71,80,75,68,28,81,76,80,75,,,
Nigeria,NGA,2022,Western Africa,6973345,63,71,65,60,26,70,65,69,64,,,
Nigeria,NGA,2023,Western Africa,7065325,76,84,79,70,39,85,80,83,44,,,
Nigeria,NGA,2024,Western Africa,7143725.5,80,90,85,78,51,90,85,93,49,,,
Nigeria,NGA,2025,Western Africa,7209669.5,62,69,65,61,41,71,67,68,40,,,
Republic of Congo,COG,2017,Central Africa,172953.5,76,75,69,70,2,75,69,72,66,,,
Republic of Congo,COG,2018,Central Africa,173962,79,77,73,73,0,77,72,77,71,,,
Republic of Congo,COG,2019,Central Africa,174976,80,82,78,73,0,81,77,72,67,,,
Republic of Congo,COG,2020,Central Africa,176525.5,68,73,70,65,26,73,69,72,68,,,
Republic of Congo,COG,2021,Central Africa,178793,77,78,74,65,29,76,72,76,71,,,
Republic of Congo,COG,2022,Central Africa,180924,65,66,63,37,18,48,45,67,63,,,
Republic of Congo,COG,2024,Central Africa,186310.5,85,89,83,78,0,89,82,88,82,,,
Rwanda,RWA,2017,Eastern and Southern Africa,369777.5,101,103,102,104,0,102,101,103,101,,,
Rwanda,RWA,2018,Eastern and Southern Africa,373607.5,97,98,97,96,0,98,97,98,96,,,
Rwanda,RWA,2019,Eastern and Southern Africa,376798,128,99,98,96,0,99,98,99,97,,,
Rwanda,RWA,2020,Eastern and Southern Africa,379616.5,89,91,91,94,91,91,91,91,91,,,
Rwanda,RWA,2021,Eastern and Southern Africa,381333,88,89,87,85,84,89,87,89,87,,,
Sao Tome and Principe,STP,2017,Central Africa,6209.5,92,94,86,84,71,94,89,94,86,,,
Sao Tome and Principe,STP,2018,Central Africa,6123.5,89,93,91,84,72,93,92,93,92,,,
Sao Tome and Principe,STP,2019,Central Africa,6087.5,95,97,95,95,95,97,95,97,95,,,
Sao Tome and Principe,STP,2020,Central Africa,6116,82,87,85,80,65,89,86,88,83,,,
Sao Tome and Principe,STP,2021,Central Africa,6186.5,92,98,97,78,69,98,96,98,97,,,
Sao Tome and Principe,STP,2022,Central Africa,6270,72,79,83,103,70,79,83,79,83,,,
Sao Tome and Principe,STP,2024,Central Africa,6485,59,63,67,69,4,63,69,63,67,,,
Senegal,SEN,2018,Western Africa,494106.5,68,68,67,68,52,68,67,68,39,,,
Senegal,SEN,2019,Western Africa,495667,103,106,100,96,77,106,100,106,100,,,
Senegal,SEN,2020,Western Africa,497303,84,84,80,79,65,83,80,84,81,,,
Senegal,SEN,2021,Western Africa,498898,73,73,71,74,66,73,71,73,71,,,
Senegal,SEN,2022,Western Africa,502873.5,62,65,66,52,50,65,65,65,66,,,
Senegal,SEN,2023,Western Africa,513261,19,15,17,16,14,18,17,18,17,,,
Senegal,SEN,2024,Western Africa,524541,17,16,17,17,17,17,17,17,17,,,
Senegal,SEN,2025,Western Africa,532607,71,75,74,57,59,75,73,75,74,,,
Seychelles,SYC,2018,Eastern and Southern Africa,1729,48,99,98,93,0,99,98,34,16,,,
Seychelles,SYC,2019,Eastern and Southern Africa,1736,185,100,100,104,0,101,100,97,90,,,
Seychelles,SYC,2020,Eastern and Southern Africa,1743,65,76,75,77,0,77,75,75,79,,,
Sierra Leone,SLE,2017,Western Africa,232838,78,94,88,82,0,94,89,93,87,,,
Sierra Leone,SLE,2019,Western Africa,238199,63,75,75,72,0,75,75,76,75,,,
Sierra Leone,SLE,2020,Western Africa,240074,57,74,73,71,52,129,67,74,68,,,
Sierra Leone,SLE,2024,Western Africa,246450,71,88,86,88,89,87,85,87,85,,,
South Africa,ZAF,2023,Eastern and Southern Africa,1161442.5,78,80,78,79,83,73,0,77,84,,,
South Africa,ZAF,2024,Eastern and Southern Africa,1161973,75,76,73,76,85,72,0,76,84,,,
Togo,TGO,2018,Western Africa,263801.5,64,72,69,67,0,59,52,72,69,,,
Togo,TGO,2019,Western Africa,266615,74,82,79,78,61,79,75,82,79,,,
Togo,TGO,2020,Western Africa,269480.5,72,80,78,73,54,80,77,80,77,,,
Togo,TGO,2021,Western Africa,272436.5,61,66,64,60,46,66,64,66,64,,,
Togo,TGO,2022,Western Africa,275224,64,69,67,66,51,69,66,69,66,,,
Togo,TGO,2023,Western Africa,278127,66,82,79,72,65,80,77,82,79,,,
Togo,TGO,2024,Western Africa,281039.5,78,92,89,86,77,84,81,91,89,,,
Togo,TGO,2025,Western Africa,284070,56,67,69,67,57,55,54,67,69,,,
Uganda,UGA,2017,Eastern and Southern Africa,1460160.5,85,102,94,83,0,100,90,99,90,,,
Uganda,UGA,2018,Eastern and Southern Africa,1500546,86,98,91,84,0,94,85,97,89,,,
Uganda,UGA,2019,Eastern and Southern Africa,1539004,88,103,93,87,0,103,92,100,92,,,
Uganda,UGA,2020,Eastern and Southern Africa,1574545,84,95,90,87,0,96,89,95,90,,,
Uganda,UGA,2021,Eastern and Southern Africa,1608755.5,82,96,90,89,0,96,90,96,90,,,
Uganda,UGA,2023,Eastern and Southern Africa,1658195,75,89,86,85,21,87,84,89,86,,,
Uganda,UGA,2024,Eastern and Southern Africa,1673195.5,81,96,94,90,36,95,92,95,93,,,
United Republic of Tanzania,TZA,2017,Eastern and Southern Africa,1996948.5,123,99,93,95,0,97,90,100,93,,,
United Republic of Tanzania,TZA,2018,Eastern and Southern Africa,2055564.5,121,103,97,99,79,98,90,104,97,,,
United Republic of Tanzania,TZA,2019,Eastern and Southern Africa,2100039.5,119,107,103,102,87,106,99,107,95,,,
United Republic of Tanzania,TZA,2020,Eastern and Southern Africa,2139855,120,107,102,100,81,83,74,106,94,,,
United Republic of Tanzania,TZA,2021,Eastern and Southern Africa,2181313.5,106,100,96,91,75,86,79,99,93,,,
Zambia,ZMB,2017,Eastern and Southern Africa,600938,82,83,78,80,53,83,76,83,78,,,
Zambia,ZMB,2018,Eastern and Southern Africa,610024,87,90,86,90,61,72,86,91,86,,,
Zambia,ZMB,2019,Eastern and Southern Africa,620684.5,82,84,78,85,60,83,77,85,80,,,
Zambia,ZMB,2020,Eastern and Southern Africa,629949.5,80,84,81,92,95,84,79,85,81,,,
Zambia,ZMB,2021,Eastern and Southern Africa,638598.5,95,94,87,90,62,93,86,94,89,,,
Zimbabwe,ZWE,2019,Eastern and Southern Africa,456759.5,102,92,87,84,75,93,87,92,87,,,
Zimbabwe,ZWE,2020,Eastern and Southern Africa,462237.5,81,85,80,78,69,86,80,85,79,,,
Zimbabwe,ZWE,2021,Eastern and Southern Africa,469293,80,86,80,72,63,86,79,85,73,,,
Zimbabwe,ZWE,2023,Eastern and Southern Africa,480881.5,73,80,78,76,69,79,76,81,78,,,
